香港,#genre#
明珠台,http://sedum.notessedum.com/796b348e3ce93cd7cca2dc5c93f69875/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/8b02bea1d7234a273e01172822539c04/index.m3u8
千禧經典台,http://sedum.notessedum.com/56d87dddd74727f79391dc4b98a86eb5/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/cbe3faadcb39ba88c4496a73ff9d0fae/index.m3u8
亞洲劇台,http://sedum.notessedum.com/79483382d20916885607c047a5b7606f/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/acf7e1a93ede9221048723b104caf040/index.m3u8
華語劇台,http://sedum.notessedum.com/93f74b66db1eb18142c9dee7c651c0dc/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/33a0e58112f604fd2cdefcd24f5081ef/index.m3u8
黃金華劇台,http://sedum.notessedum.com/6671a62ddeda0211fef151d955ce7bdf/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/bafa4403b35f43867f848c3b03b739b9/index.m3u8
娛樂新聞台,http://sedum.notessedum.com/7873f7d435a9c10aa8ba4dba96fee991/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/cff71068f54bcc3cebc07bbcef8691ff/index.m3u8
ViuTVsix,http://sedum.notessedum.com/1ccf53bf1af1b6be92d493bac6905329/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/d5eb8053194303d2cf023d76fcddd6c9/index.m3u8
戲曲台,http://sedum.notessedum.com/edc10206d815d10aeb841b050050c829/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/ae3695243e9da60ba7c8b924bee1baa0/index.m3u8
ViuTV,http://sedum.notessedum.com/0ed2e16bd7ca40e92f92f972481e6d83/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/9873f2d3d3793babd31b3edaf8946f53/index.m3u8
兒童台,http://sedum.notessedum.com/eafe362a4795017419481ffca1dbb6b8/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/9865484113e9c2b46c9dd8a77e3727f2/index.m3u8
ZooMoo,http://sedum.notessedum.com/d493faa2d42bd73644ff043bef20569f/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/25069abc36d60420093df090eb863bc4/index.m3u8
Viu 頻道,http://sedum.notessedum.com/d9d0537235dc5cb9ae624397ae9a7189/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/5a151c05d98ff808cbf7b40d6e399d26/index.m3u8
Nick Jr,http://sedum.notessedum.com/a7ddc1c47e2393d426d53fb2b89ad1dc/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/7793d23fc1c4c798b8c8a70002f678f2/index.m3u8
Nickelodeon,http://sedum.notessedum.com/ef265ac2650cac3479947c3fe3ce839a/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/bc10e09575697bbf186fa15b5c6606f0/index.m3u8
Now華劇台,http://sedum.notessedum.com/a232e047936bb5ba459a112a6b624bec/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/6bf850bd8ab5a8a4bcbdbe82c2a04af6/index.m3u8
NowJelli 紫金國際台,http://sedum.notessedum.com/0b603b0416cf9143f66f637da76e8ae1/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/fbea8bfbd9e26cc4c9a237a8d6dd251f/index.m3u8
HBO Hits,http://sedum.notessedum.com/96483d8d7dcfa26e4512ccd4a588219e/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/620c7020f97c0a00aba4398427b79075/index.m3u8
HBO Family,http://sedum.notessedum.com/0d8340a80dd9177a6e8ebd9397b047c2/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/0f2f178506cbb0d478d72d6e562eb801/index.m3u8
CINEMAX,http://sedum.notessedum.com/7112ce5f1ddc9476f040b8f801df7632/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/0b9c3b4f7928b474a51d0e62fa56ac0a/index.m3u8
HBO Signature,http://sedum.notessedum.com/f52135bededcc634c6845be76b4fbd77/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/b8bdd6dab9a126dacc2430c596825824/index.m3u8
HBO,http://sedum.notessedum.com/e92dfe3c95b29e8dcd7b9da0e26d0900/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/799ac578eb1cd87bd9b8df62fd892d24/index.m3u8
MOVIE MOVIE,http://sedum.notessedum.com/134ef1ff89b00aae6cb73123f2feb1b0/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/bd00715eb40c32210ebe226d4c94fa21/index.m3u8
Now爆谷台,http://sedum.notessedum.com/c6e51f30fd0368b9ced746201464513d/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/5aff1bcab410e069b92a56e0123fe342/index.m3u8
Now爆谷星影台,http://sedum.notessedum.com/ed4e7b2feb5a11d7544a74f1c69e42f6/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/33d42bc4051d0b7005461b897298fcec/index.m3u8
粵語片台,http://sedum.notessedum.com/aee18ee72cd3a002d66d13de5c80c7a1/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/a911eed2813c2ce8607d4ede446909cf/index.m3u8
美亞電影台,http://sedum.notessedum.com/ca7b4338152a03731488338e37f513e6/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/04ad28719e0b06c4d38d79e7fb8ee3db/index.m3u8
Thrill,http://sedum.notessedum.com/1c5ea0c69f04a77ab252f81cfc099020/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/b7df1a5c88f39dba8044efea6a27238b/index.m3u8
天映經典頻道,http://sedum.notessedum.com/88a11b54533e7608e1d72c58e9c02310/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/cc06ad4b8943e65c8f17e91116f4fe90/index.m3u8
ROCK Action,http://sedum.notessedum.com/0e1ed3c6156b60df84ee0ff4bad86ee4/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/a0acaccc5a69a21206ed31e4184f4f7f/index.m3u8
PopC,http://sedum.notessedum.com/db5ab55e220a38838e36d1c154ca8df8/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/a405800edc5ccaf6b806f1e295b2c064/index.m3u8
KIX,http://sedum.notessedum.com/22c69c299620a645a30ebe88d1b4197e/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/36c0c95ffcf6fe1ca0ee023ca1a279fb/index.m3u8
Now Direct 直播台,http://sedum.notessedum.com/21a959ec587cbfd95d45ad133f466539/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/4f05050ce3e7658b64f712b9642d41f7/index.m3u8
Now News 新聞台,http://sedum.notessedum.com/e27809d3595ab7de02f9efa0dc3d02e0/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/d2d60ef7e85e4cc428aa826e7506158f/index.m3u8
Now BNC 財經台,http://sedum.notessedum.com/82b66baf52cf7cae89312b4b3e42e9bd/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/d0e77fc0b16a9ea99ee46153c604d8ff/index.m3u8
Love Nature HD,http://sedum.notessedum.com/2d830546a510829aa4b3581b5a2fbcf8/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/31c55629705a164811cded47508669cc/index.m3u8
Global Trekker,http://sedum.notessedum.com/a0387505a56f8e082bb6567cef4cd25e/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/0b731c2122948d9f06545930c4f20dc3/index.m3u8
Da Vinci,http://sedum.notessedum.com/8b14f49028a25b112d008935dee4b17d/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/5af8db58f6561ae407d479c1b9edb9a8/index.m3u8
ROCK綜藝娛樂,http://sedum.notessedum.com/a08002cb28df1c03c693487ef02ec811/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/0e71dcbd6a53c68ae268b76265813af1/index.m3u8
AXN,http://sedum.notessedum.com/da6113fb4e39ba2c933227432a55f704/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/49593cff5909475810a99887fff65fc5/index.m3u8
Animax,http://sedum.notessedum.com/a94708d2dba22b55c5b28d983927a7f0/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/dd3c0e16452f810399353cae75fb6a0b/index.m3u8
tvN,http://sedum.notessedum.com/bd88b00c13a36a24d6b93fac6041ca6f/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/d7bb09e0fe6f9c9d67fbd0cc459523c3/index.m3u8
大灣區衛視,http://sedum.notessedum.com/5544ed179957731ecb98f0ac9a0bd8b1/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/ed7adba71477d09168f786bae8336c8e/index.m3u8
OneTV 綜合頻道,http://sedum.notessedum.com/42dea1c1d571dc0e220885240d964de6/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/8ffd22df9728f955a983888ccf0470b4/index.m3u8
鳳凰衛視中文台,http://sedum.notessedum.com/72544cfdc80baac6439a5e3802d74c3c/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/dc709efe48d455cd9d8cbfeef861b589/index.m3u8
鳳凰衛視資訊台,http://sedum.notessedum.com/75e42b3ed5c5ee54b7251022db1da085/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/9f0fd3d941a11ead974b241ce9075ac4/index.m3u8
鳳凰衛視香港台,http://sedum.notessedum.com/81785e801085d1bec127b84aadee4baf/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/f0edd40dc9f6462b934ed1a4432a5686/index.m3u8
FashionBox,http://sedum.notessedum.com/b90ab50c1cd0ee6e2aceebd3de8de1e5/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/d45dd0a349e4c756deb08bd5d95682a0/index.m3u8
FashionBox,http://sedum.notessedum.com/b233493a443d27ac8e4bd2f0d5082803/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/031fce1f3ff4c14f1116447c4a8d0fe5/index.m3u8
Mezzo Live HD,http://sedum.notessedum.com/73ca1d49d0cee585c2618e639511f40e/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/5f4a19f0940fe24456107558eec9acee/index.m3u8
Now Sports 英超1台,http://sedum.notessedum.com/fd1b575072627719a9d9dc1d34eab12f/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/59c2a7b65f2a3b915bd4d32b70c1973e/index.m3u8
Now Sports Prime 精選,http://sedum.notessedum.com/561f7f05861b8aa78eb2ca0a1410a053/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/698ca411e698638515f865c60ce90f77/index.m3u8
Now Sports 1,http://sedum.notessedum.com/63fd44b462138bf3050884e827a39082/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/f1792f801f1f8f733325590624f31fb2/index.m3u8
Now Sports 2,http://sedum.notessedum.com/8db237240bf3d279691ffda948fbbe9f/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/072c485d382a3c8dac5ca27be9c349d6/index.m3u8
Now Sports 3,http://sedum.notessedum.com/16974c6d4b9c951ff217b0f7eed97d67/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/f83a21895f976663fac923e149406c2a/index.m3u8
Now Sports 4,http://sedum.notessedum.com/0d8f18fa96c6e68dec630c2567dbf177/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/9a72b5566f1b9d4fc1ddcd75f76f42be/index.m3u8
Now Sports 5,http://sedum.notessedum.com/8b966e94dab08ac764a8d473965253bc/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/165d37099604f2d2ad3cb13bbc8e3f37/index.m3u8
Now Sports 6,http://sedum.notessedum.com/c8748d016e8592e35fc8ead539fc2af5/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/e4915962c97f07a6b70b5dd4e536ba65/index.m3u8
Now Sports 7,http://sedum.notessedum.com/3bce635cab438dd144cdb0f2117c65fe/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/18b42d233313abeda4b023db50546eff/index.m3u8
beIN SPORTS 1,http://sedum.notessedum.com/e14ff9873bc9da032cebf210100aa4d5/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/a18e47f82e2133d78dd050128532b10e/index.m3u8
beIN SPORTS 2,http://sedum.notessedum.com/ac4983dc7abda42a2863293b80c8a489/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/1cf86621b55436910252a9db38dd0990/index.m3u8
Now Sports 641,http://sedum.notessedum.com/152802a358ed2f42469ee2245006c98a/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/0b08a8fea8312e4a328fa648c8275cb6/index.m3u8
NBA TV,http://sedum.notessedum.com/1623363026756613cb2463b024a35da6/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/934f70efd8350aca6f6183f32eaec5e3/index.m3u8
beIN SPORTS 3,http://sedum.notessedum.com/0821c7b4f0ae49c13db9fec399dac326/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/bcb3db1271f7bf39d743cfe844b52b3c/index.m3u8
Now668,http://sedum.notessedum.com/eead5851bac24523bc339967e00b157f/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/bde2732d1cb0b59a7a15ab2e086b6fd9/index.m3u8
SPOTV,http://sedum.notessedum.com/0835d54ffda14ed9771d34ca88c786af/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/0bea22bb0594a411ff6313e13ed66e03/index.m3u8
SPOTV2,http://sedum.notessedum.com/b7f2c99bb09ea1956c7ed5a1a1398c60/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/c27deeb7d8829ab902ed19a82e6273ad/index.m3u8
Now Sports Plus,http://sedum.notessedum.com/2b162f3d61258fd18916d7c8b4a87348/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/f92eb731237855e363512b78e9b44157/index.m3u8
神州新聞台,http://sedum.notessedum.com/3f3b7c0ea86454d789c83cec20c4d11a/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/fe4fb7bd990853bb8f1bfe46dd33a8aa/index.m3u8
星河台,http://sedum.notessedum.com/f65e511db7cc7429850c28c6d28b7017/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/b03914b834bb5f3b63e4f53fc70a5812/index.m3u8
88台,http://sedum.notessedum.com/92e2745af0e93de2d673547b62c81a73/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/8fce85ae2a15ecd65608a93a6bd39bd7/index.m3u8
功夫台,http://sedum.notessedum.com/6ec30414324be8d56142fe5611f3e336/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/a628246e85e687e676476f2361613718/index.m3u8
粤语片台,http://sedum.notessedum.com/62f5dac427383772a79f2e95fe9d4f9a/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/decab65ed20ba9392020c37eae6420d3/index.m3u8
TVB生活台,http://sedum.notessedum.com/afde54b1eca10350d3dca94093e5cee4/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/8a53eb6121a38bd0b2572ae2d0882742/index.m3u8
直播足球1台,http://sedum.notessedum.com/656676bbab29db3df96c39921853601b/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/5b1675987d14ca20b2a25e769e474f56/index.m3u8
直播足球2台,http://sedum.notessedum.com/6959922989b1f400a87f7be10ceabbdd/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/a03f98cb7cc1bbd4a377e9f8973657c2/index.m3u8
直播足球3台,http://sedum.notessedum.com/301fe4f571e8809d26f100916d2fbc05/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/725d831c5bbdec6d7b691a19bcf87395/index.m3u8
直播足球4台,http://sedum.notessedum.com/5b99f5510fdbf4c806eb0b1256da0004/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/3c66770e6057d1b5cca890b722192ce3/index.m3u8
直播足球5台,http://sedum.notessedum.com/dd548708ec7a742404bfcde16caf94c5/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/14725f2e7d88af47e59489a9f8515571/index.m3u8
直播足球6台,http://sedum.notessedum.com/1896864ee77b4ae55aba13a96477845a/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/5b3580dcd3a29810924ceb4a556f1dac/index.m3u8
C++,http://sedum.notessedum.com/bbcea7a576932e603c79ab960ff0dbe9/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/97dea5bda3e809d5d015f98fc869bd6f/index.m3u8
面包台,http://sedum.notessedum.com/8c33ba9c40f2650c57305e75b5b01e12/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/97c5012ea81ca4d9e3ec004f0c48e318/index.m3u8
台灣,#genre#
TaiwanPlus,http://sedum.notessedum.com/ae16db7066f66c33ae0299e85d2dab93/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/b37fdc1179f9896e66a5f98e630e378d/index.m3u8
大愛二台,http://sedum.notessedum.com/ab9b43b9e426ebc8cef92c2ced65ee4f/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/1ef56b35cf8b510e4722ab4bbe8042b6/index.m3u8
CNN,http://sedum.notessedum.com/1c08b7a63f1d43a34eb1b6a26f217b14/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/6e1d888ef797d894781b7bcf65a68c04/index.m3u8
民視,http://sedum.notessedum.com/2cf82b014c11e77550fe52f36d75c513/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/6c9086730c91e2b57225bd9865a16238/index.m3u8
民視,http://sedum.notessedum.com/98ce42514a302ecfca0f6eeb75f27b24/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/6fc61513ffd91acbc8a8378631be0b2a/index.m3u8
民視,http://sedum.notessedum.com/f84e721061da3b2c8c3c66229f1d1bb6/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/f19d7793703c02b7f2445a337e228013/index.m3u8
民視,http://sedum.notessedum.com/c569fadae860979f82876ed0e6ef43c3/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/a39e9dc452982da934699cd15c1d6ef0/index.m3u8
民視,http://sedum.notessedum.com/9d078372cd4464fcd4da5ed7ba66343a/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/a949fd3a22ba868b185324c6bc41e9a9/index.m3u8
人間衛視,http://sedum.notessedum.com/d70c424d1f8d165d5713f5759bf70c65/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/bda11ccdf37f64c61724f46d8caa3442/index.m3u8
人間衛視,http://sedum.notessedum.com/7d5951e2b2c56477a088fa1f1f3005f1/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/f80de60f37260b99733fd7ef90be5bab/index.m3u8
台視,http://sedum.notessedum.com/fc0f31ed121ecee290ffbd806d817660/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/50988b5469900e6b522fbc8bdd2d126f/index.m3u8
台視,http://sedum.notessedum.com/cad4efef2484b38fbf5ecfbc72e0e751/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/cb2c012094fad4903e1ed53fcd5e7bc8/index.m3u8
台視,http://sedum.notessedum.com/76cf2a341be308e9bc3997ed97cf9d02/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/df8bfbe2ee72efd80a0446d10ad0c706/index.m3u8
大愛一台,http://sedum.notessedum.com/6d4a4a63121843c11ce5d1af2034f275/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/631e3447b09db67faaa5a2b4f28bac29/index.m3u8
中視,http://sedum.notessedum.com/ff2c1ad9c033cc87614b910a657e72ec/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/d8b97e80609c4eb77369956012655543/index.m3u8
中視,http://sedum.notessedum.com/9f7549ebac8a2c914fcda5cb4e30d0d1/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/2aeb0a5a12cb94ded561bd74b839400a/index.m3u8
中視,http://sedum.notessedum.com/d198cd165ec64f7e78572e4e9f7ce9ea/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/42be03a07d77b61167a017b134846407/index.m3u8
霹靂台灣台,http://sedum.notessedum.com/06091bdce8760cc881d1a0aa34c13fc6/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/64c9c452bba54f1df4e070480181d103/index.m3u8
華視,http://sedum.notessedum.com/d3d45dc9f70dc219b5c79d04bb09b5eb/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/7d24eeb4f7d7f08bfb0b4db85a44be4e/index.m3u8
華視,http://sedum.notessedum.com/fe2e7033f706fc9d2a479f9658100f9a/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/782ec7f2f76ad72f578fe33f567fedd1/index.m3u8
華視,http://sedum.notessedum.com/a3c8d640a57857f0f2d3fa9ca4f212a2/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/ada030ef202c3443f022b299f7af6377/index.m3u8
華視,http://sedum.notessedum.com/c2aee9e1915aec82646ecd43562281a5/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/59cd4110717522ee56ec888a21bbefd0/index.m3u8
公視,http://sedum.notessedum.com/feb36f991428487529a144ec0666369f/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/ef2fbde30108030b1b6171ddbfe3dc73/index.m3u8
公視,http://sedum.notessedum.com/c4fd10e348b6fc42db9964a810f69e4a/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/9a0559e45823533802e601a2ba0d7808/index.m3u8
公視,http://sedum.notessedum.com/8b9dd440be9aaed75fba77c418e92b9a/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/25219f0f2d1fe291e178d521d9580bda/index.m3u8
公視台語台,http://sedum.notessedum.com/f50d07b18a4ea10f955a12ae66b47aa5/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/12a7e166dad2eab96b8d2a0545dc025d/index.m3u8
好消息,http://sedum.notessedum.com/a3a6fb90c3db4e2265a272a869bf47fc/32e9034c639ce51d8f773db6e72177337e6e01ce5ae9f1087883717012931689/c323176032e7261ee14050e13efe6a41/index.m3u8
